model,metric,contrast,train_seed,placement_seed,value,dataset,score_support_status
spin,MAE_over_snaive7,shift_excess_penalty,1,0,0.45019039039189623,cta,exact
spin,MAE_over_snaive7,shift_excess_penalty,1,1,0.42895146540201945,cta,exact
spin,MAE_over_snaive7,shift_excess_penalty,1,2,0.44845562796273863,cta,exact
spin,MAE_over_snaive7,shift_excess_penalty,1,3,0.77614627248654977,cta,exact
spin,MAE_over_snaive7,shift_excess_penalty,1,4,0.64195413594806117,cta,exact
spin,MAE_over_snaive7,shift_excess_penalty,2,0,1.3200229662778016,cta,exact
spin,MAE_over_snaive7,shift_excess_penalty,2,1,1.2155751209240129,cta,exact
spin,MAE_over_snaive7,shift_excess_penalty,2,2,1.199393871615118,cta,exact
spin,MAE_over_snaive7,shift_excess_penalty,2,3,1.7074027593346324,cta,exact
spin,MAE_over_snaive7,shift_excess_penalty,2,4,1.6467185869812451,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_no_shift,0,0,0.0045895523704871932,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_no_shift,0,1,0.020513396635935766,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_no_shift,0,2,0.014160527513759513,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_no_shift,0,3,0.0091454289730761307,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_no_shift,0,4,-0.0045531254172043178,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_no_shift,1,0,0.0090106734521178122,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_no_shift,1,1,0.018039171765693807,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_no_shift,1,2,0.010776612416038722,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_no_shift,1,3,-0.00086270503440133428,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_no_shift,1,4,-0.0074246158011066488,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_no_shift,2,0,0.0066388151965722786,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_no_shift,2,1,0.020870648500527444,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_no_shift,2,2,0.01308124551587575,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_no_shift,2,3,0.0082731086261774722,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_no_shift,2,4,-0.0017419635616769957,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_regional_shift,0,0,0.0044252479906654596,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_regional_shift,0,1,0.021246093025181323,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_regional_shift,0,2,0.01457025431839154,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_regional_shift,0,3,0.0091896995906276535,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_regional_shift,0,4,-0.0049179552101721313,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_regional_shift,1,0,0.0086478217953549485,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_regional_shift,1,1,0.018399224722390417,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_regional_shift,1,2,0.010878596566363252,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_regional_shift,1,3,-0.00086962493428321963,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_regional_shift,1,4,-0.007633538628800618,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_regional_shift,2,0,0.0065662605370261362,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_regional_shift,2,1,0.021613140048968305,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_regional_shift,2,2,0.013749623195704719,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_regional_shift,2,3,0.0083242321768383087,cta,exact
spin_c,MAE_over_snaive7,outside_penalty_regional_shift,2,4,-0.001898469292520355,cta,exact
spin_c,MAE_over_snaive7,shift_excess_penalty,0,0,-0.00016430437982173363,cta,exact
spin_c,MAE_over_snaive7,shift_excess_penalty,0,1,0.00073269638924555736,cta,exact
spin_c,MAE_over_snaive7,shift_excess_penalty,0,2,0.00040972680463202682,cta,exact
spin_c,MAE_over_snaive7,shift_excess_penalty,0,3,4.427061755152284e-05,cta,exact
spin_c,MAE_over_snaive7,shift_excess_penalty,0,4,-0.00036482979296781348,cta,exact
spin_c,MAE_over_snaive7,shift_excess_penalty,1,0,-0.00036285165676286368,cta,exact
spin_c,MAE_over_snaive7,shift_excess_penalty,1,1,0.00036005295669661042,cta,exact
