dataset,placement_seed,shift,coverage,snaive7,common_mode,snaive7_recomputed,common_mode_recomputed,max_snaive7_abs_difference,max_common_mode_abs_difference,n_model_cells,n_snaive7_cells,n_all_valid_target_cells,n_lag7_missing_target_cells,n_unmatched_cells,score_support_status,target_indices_sha256,test_indices_sha256,test_days,test_start,test_end
mta,1,regional shift,inside,236.51860611794388,159.65467919311348,236.51860611794388,159.65467919311348,0,0,19026,19026,19035,9,0,exact,ebe724dbd25f7f1f9e855a08bb965ad85b33d0107449d5ecfdd26a22c97b437c,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
mta,1,regional shift,outside,236.51860611794388,160.21150760772235,236.51860611794388,160.21150760772235,0,0,19026,19026,19035,9,0,exact,ebe724dbd25f7f1f9e855a08bb965ad85b33d0107449d5ecfdd26a22c97b437c,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
mta,2,no shift,inside,1056.5591154997635,665.21950427652689,1056.5591154997637,665.21950427652689,2.2737367544323206e-13,0,19039,19039,19042,3,0,exact,e7d31392e9c3fb697b0b498361386979f8d19417966cf46421c514b1100bd06f,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
mta,2,no shift,outside,1056.5591154997635,670.7288228025842,1056.5591154997637,670.7288228025842,2.2737367544323206e-13,0,19039,19039,19042,3,0,exact,e7d31392e9c3fb697b0b498361386979f8d19417966cf46421c514b1100bd06f,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
mta,2,regional shift,inside,264.13977887494093,166.27817808148609,264.13977887494093,166.27817808148609,0,0,19039,19039,19042,3,0,exact,e7d31392e9c3fb697b0b498361386979f8d19417966cf46421c514b1100bd06f,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
mta,2,regional shift,outside,264.13977887494093,167.68460021856967,264.13977887494093,167.68460021856967,0,0,19039,19039,19042,3,0,exact,e7d31392e9c3fb697b0b498361386979f8d19417966cf46421c514b1100bd06f,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
mta,3,no shift,inside,998.22085567118688,618.1920085298035,998.22085567118677,618.1920085298035,1.1368683772161603e-13,0,19026,19026,19035,9,0,exact,6f6224436ad6ae5634b14acbf4df71253bf312497b8951e9594c5a9999191ad8,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
mta,3,no shift,outside,998.22085567118688,617.71818118853855,998.22085567118677,617.71818118853855,1.1368683772161603e-13,0,19026,19026,19035,9,0,exact,6f6224436ad6ae5634b14acbf4df71253bf312497b8951e9594c5a9999191ad8,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
mta,3,regional shift,inside,249.55521391779669,154.53149023371401,249.55521391779669,154.53149023371401,0,0,19026,19026,19035,9,0,exact,6f6224436ad6ae5634b14acbf4df71253bf312497b8951e9594c5a9999191ad8,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
mta,3,regional shift,outside,249.55521391779669,154.42793466022005,249.55521391779669,154.42793466022005,0,0,19026,19026,19035,9,0,exact,6f6224436ad6ae5634b14acbf4df71253bf312497b8951e9594c5a9999191ad8,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
mta,4,no shift,inside,974.10044654583646,610.53154901284825,974.10044654583658,610.53154901284825,1.1368683772161603e-13,0,19035,19035,19040,5,0,exact,a406aa863a6141c46cd442bbbbd968ba9993cc5610565bb472c0aab6736d6409,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
mta,4,no shift,outside,974.10044654583646,603.90173912763157,974.10044654583658,603.90173912763157,1.1368683772161603e-13,0,19035,19035,19040,5,0,exact,a406aa863a6141c46cd442bbbbd968ba9993cc5610565bb472c0aab6736d6409,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
mta,4,regional shift,inside,243.52511163645917,152.6169901479139,243.52511163645914,152.6169901479139,5.6843418860808015e-14,0,19035,19035,19040,5,0,exact,a406aa863a6141c46cd442bbbbd968ba9993cc5610565bb472c0aab6736d6409,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
mta,4,regional shift,outside,243.52511163645917,150.97627092231934,243.52511163645914,150.97627092231934,5.6843418860808015e-14,0,19035,19035,19040,5,0,exact,a406aa863a6141c46cd442bbbbd968ba9993cc5610565bb472c0aab6736d6409,8a673280f187439d053b7f37e23ecd3606cdac91f0bd38dea2294aef06037fc3,293,2021-03-14,2021-12-31
