dataset,model,train_seed,placement_seed,shift,coverage,MAE,snaive7,common_mode,n_target,n_observed,realised_shift
cta,spin_c,1,4,regional shift,inside,20.283225662278564,41.085446123842026,26.99909463215904,21,22,1.1264620890535109
cta,spin_c,1,4,regional shift,outside,19.96959832221071,41.085446123842026,27.46273027310985,21,22,1.1264620890535109
cta,spin_c,2,0,no shift,inside,111.68745302088412,218.74987810823987,160.70907838688996,21,22,1.1264620890535109
cta,spin_c,2,0,no shift,outside,113.13969303591745,218.74987810823987,160.72905573866325,21,22,1.1264620890535109
cta,spin_c,2,1,no shift,inside,133.2024304709085,219.8454412481716,149.17063584144728,21,22,1.1264620890535109
cta,spin_c,2,1,no shift,outside,137.79074739964244,219.8454412481716,151.4227503926293,21,22,1.1264620890535109
cta,spin_c,2,2,no shift,inside,136.304533865594,265.26036079960994,189.35779661273412,21,22,1.1264620890535109
cta,spin_c,2,2,no shift,outside,139.7744697708435,265.26036079960994,193.75248786122648,21,22,1.1264620890535109
cta,spin_c,2,3,no shift,inside,128.87195524540874,227.5228343897286,168.17692216383062,21,22,1.1264620890535109
cta,spin_c,2,3,no shift,outside,130.75427636925076,227.5228343897286,172.98570886341946,21,22,1.1264620890535109
cta,spin_c,2,4,no shift,inside,83.73901831423696,164.3417844953681,108.01955442259144,21,22,1.1264620890535109
cta,spin_c,2,4,no shift,outside,83.45274091398505,164.3417844953681,109.85380781105042,21,22,1.1264620890535109
cta,spin_c,2,0,regional shift,inside,27.92957798787177,54.68746952705997,40.17508953765671,21,22,1.1264620890535109
cta,spin_c,2,0,regional shift,outside,28.288670160897123,54.68746952705997,40.1770739339316,21,22,1.1264620890535109
cta,spin_c,2,1,regional shift,inside,33.28671767075004,54.961360312042906,37.28226847222702,21,22,1.1264620890535109
cta,spin_c,2,1,regional shift,outside,34.47460524845604,54.961360312042906,37.85209975004262,21,22,1.1264620890535109
cta,spin_c,2,2,regional shift,inside,34.04167174549001,66.31509019990249,47.3264221856702,21,22,1.1264620890535109
cta,spin_c,2,2,regional shift,outside,34.95347924792784,66.31509019990249,48.4416879392888,21,22,1.1264620890535109
cta,spin_c,2,3,regional shift,inside,32.23104614872826,56.88070859743215,42.030761411622855,21,22,1.1264620890535109
cta,spin_c,2,3,regional shift,outside,32.70453437347636,56.88070859743215,43.256688352021534,21,22,1.1264620890535109
cta,spin_c,2,4,regional shift,inside,20.95274107269828,41.085446123842026,26.99909463215904,21,22,1.1264620890535109
cta,spin_c,2,4,regional shift,outside,20.874741614862668,41.085446123842026,27.46273027310985,21,22,1.1264620890535109
cta,ignnk_off,0,0,no shift,inside,213.91228388019564,218.74987810823987,160.70907838688996,21,22,1.1264620890535109
cta,ignnk_off,0,0,no shift,outside,216.02091015053634,218.74987810823987,160.72905573866325,21,22,1.1264620890535109
cta,ignnk_off,0,1,no shift,inside,228.9458845818351,219.84544124817162,149.17063584144728,21,22,1.1264620890535109
cta,ignnk_off,0,1,no shift,outside,236.00029536531977,219.84544124817162,151.4227503926293,21,22,1.1264620890535109
cta,ignnk_off,0,2,no shift,inside,248.78726991343146,265.26036079960994,189.35779661273415,21,22,1.1264620890535109
cta,ignnk_off,0,2,no shift,outside,256.5458898669856,265.26036079960994,193.75248786122648,21,22,1.1264620890535109
cta,ignnk_off,0,3,no shift,inside,214.74947346886174,227.5228343897286,168.17692216383062,21,22,1.1264620890535109
cta,ignnk_off,0,3,no shift,outside,216.06833834549712,227.5228343897286,172.98570886341946,21,22,1.1264620890535109
cta,ignnk_off,0,4,no shift,inside,162.14272255403867,164.3417844953681,108.01955442259143,21,22,1.1264620890535109
cta,ignnk_off,0,4,no shift,outside,163.44090479555197,164.3417844953681,109.85380781105042,21,22,1.1264620890535109
cta,ignnk_off,0,0,regional shift,inside,69.30078035723808,54.68746952705997,40.17508953765671,21,22,1.1264620890535109
cta,ignnk_off,0,0,regional shift,outside,90.47278187152101,54.68746952705997,40.1770739339316,21,22,1.1264620890535109
cta,ignnk_off,0,1,regional shift,inside,72.3582782519071,54.961360312042906,37.28226847222702,21,22,1.1264620890535109
cta,ignnk_off,0,1,regional shift,outside,100.8926089947231,54.961360312042906,37.85209975004262,21,22,1.1264620890535109
cta,ignnk_off,0,2,regional shift,inside,79.32331374732728,66.31509019990249,47.3264221856702,21,22,1.1264620890535109
cta,ignnk_off,0,2,regional shift,outside,108.21345334275455,66.31509019990249,48.4416879392888,21,22,1.1264620890535109
cta,ignnk_off,0,3,regional shift,inside,86.86708620128138,56.88070859743215,42.030761411622855,21,22,1.1264620890535109
cta,ignnk_off,0,3,regional shift,outside,103.45394411897651,56.88070859743215,43.256688352021534,21,22,1.1264620890535109
cta,ignnk_off,0,4,regional shift,inside,73.68800161316126,41.085446123842026,26.999094632159036,21,22,1.1264620890535109
cta,ignnk_off,0,4,regional shift,outside,91.46119001274785,41.085446123842026,27.46273027310985,21,22,1.1264620890535109
cta,ignnk_off,1,0,no shift,inside,187.10531539334218,218.74987810823987,160.70907838688996,21,22,1.1264620890535109
cta,ignnk_off,1,0,no shift,outside,190.50561797217821,218.74987810823987,160.72905573866325,21,22,1.1264620890535109
cta,ignnk_off,1,1,no shift,inside,197.16916874104857,219.84544124817162,149.17063584144728,21,22,1.1264620890535109
cta,ignnk_off,1,1,no shift,outside,210.25308653584887,219.84544124817162,151.4227503926293,21,22,1.1264620890535109
cta,ignnk_off,1,2,no shift,inside,227.9263848364111,265.26036079960994,189.35779661273415,21,22,1.1264620890535109
cta,ignnk_off,1,2,no shift,outside,236.57724676034556,265.26036079960994,193.75248786122648,21,22,1.1264620890535109
cta,ignnk_off,1,3,no shift,inside,189.57396195199496,227.5228343897286,168.17692216383062,21,22,1.1264620890535109
cta,ignnk_off,1,3,no shift,outside,195.9564926566563,227.5228343897286,172.98570886341946,21,22,1.1264620890535109
cta,ignnk_off,1,4,no shift,inside,143.52726407595887,164.3417844953681,108.01955442259143,21,22,1.1264620890535109
cta,ignnk_off,1,4,no shift,outside,144.514511587018,164.3417844953681,109.85380781105042,21,22,1.1264620890535109
cta,ignnk_off,1,0,regional shift,inside,69.94594892021041,54.68746952705997,40.17508953765671,21,22,1.1264620890535109
cta,ignnk_off,1,0,regional shift,outside,93.43789757663944,54.68746952705997,40.1770739339316,21,22,1.1264620890535109
cta,ignnk_off,1,1,regional shift,inside,78.34983177191258,54.961360312042906,37.28226847222702,21,22,1.1264620890535109
cta,ignnk_off,1,1,regional shift,outside,112.64037724864903,54.961360312042906,37.85209975004262,21,22,1.1264620890535109
cta,ignnk_off,1,2,regional shift,inside,83.14378442489944,66.31509019990249,47.3264221856702,21,22,1.1264620890535109
cta,ignnk_off,1,2,regional shift,outside,118.43973357127621,66.31509019990249,48.4416879392888,21,22,1.1264620890535109
cta,ignnk_off,1,3,regional shift,inside,97.6798714883111,56.88070859743215,42.030761411622855,21,22,1.1264620890535109
cta,ignnk_off,1,3,regional shift,outside,118.27970381571997,56.88070859743215,43.256688352021534,21,22,1.1264620890535109
cta,ignnk_off,1,4,regional shift,inside,83.81268763871536,41.085446123842026,26.999094632159036,21,22,1.1264620890535109
cta,ignnk_off,1,4,regional shift,outside,103.66267518766253,41.085446123842026,27.46273027310985,21,22,1.1264620890535109
cta,ignnk_off,2,0,no shift,inside,210.41055870707123,218.74987810823987,160.70907838688996,21,22,1.1264620890535109
cta,ignnk_off,2,0,no shift,outside,222.45406930403615,218.74987810823987,160.72905573866325,21,22,1.1264620890535109
cta,ignnk_off,2,1,no shift,inside,239.52928560636073,219.84544124817162,149.17063584144728,21,22,1.1264620890535109
cta,ignnk_off,2,1,no shift,outside,256.87663792052655,219.84544124817162,151.4227503926293,21,22,1.1264620890535109
cta,ignnk_off,2,2,no shift,inside,255.02238777070127,265.26036079960994,189.35779661273415,21,22,1.1264620890535109
cta,ignnk_off,2,2,no shift,outside,269.93067390272023,265.26036079960994,193.75248786122648,21,22,1.1264620890535109
cta,ignnk_off,2,3,no shift,inside,223.5650097322952,227.5228343897286,168.17692216383062,21,22,1.1264620890535109
cta,ignnk_off,2,3,no shift,outside,226.7787805015084,227.5228343897286,172.98570886341946,21,22,1.1264620890535109
cta,ignnk_off,2,4,no shift,inside,160.62756226637413,164.3417844953681,108.01955442259143,21,22,1.1264620890535109
cta,ignnk_off,2,4,no shift,outside,163.15193022268102,164.3417844953681,109.85380781105042,21,22,1.1264620890535109
cta,ignnk_off,2,0,regional shift,inside,112.47021416921878,54.68746952705997,40.17508953765671,21,22,1.1264620890535109
cta,ignnk_off,2,0,regional shift,outside,135.15377419265755,54.68746952705997,40.1770739339316,21,22,1.1264620890535109
cta,ignnk_off,2,1,regional shift,inside,137.7128678496516,54.961360312042906,37.28226847222702,21,22,1.1264620890535109
cta,ignnk_off,2,1,regional shift,outside,167.18843831261174,54.961360312042906,37.85209975004262,21,22,1.1264620890535109
cta,ignnk_off,2,2,regional shift,inside,148.40200838894646,66.31509019990249,47.3264221856702,21,22,1.1264620890535109
cta,ignnk_off,2,2,regional shift,outside,176.1394654411466,66.31509019990249,48.4416879392888,21,22,1.1264620890535109
cta,ignnk_off,2,3,regional shift,inside,144.7295500384721,56.88070859743215,42.030761411622855,21,22,1.1264620890535109
cta,ignnk_off,2,3,regional shift,outside,164.43098640906874,56.88070859743215,43.256688352021534,21,22,1.1264620890535109
cta,ignnk_off,2,4,regional shift,inside,125.51184710932421,41.085446123842026,26.999094632159036,21,22,1.1264620890535109
cta,ignnk_off,2,4,regional shift,outside,142.82932697496395,41.085446123842026,27.46273027310985,21,22,1.1264620890535109
cta,ignnk_off_c,0,0,no shift,inside,154.71596938390064,218.74987810823987,160.70907838688996,21,22,1.1264620890535109
cta,ignnk_off_c,0,0,no shift,outside,160.72885221608107,218.74987810823987,160.72905573866325,21,22,1.1264620890535109
cta,ignnk_off_c,0,1,no shift,inside,169.08102397649012,219.84544124817162,149.17063584144728,21,22,1.1264620890535109
cta,ignnk_off_c,0,1,no shift,outside,184.78202610769137,219.84544124817162,151.4227503926293,21,22,1.1264620890535109
cta,ignnk_off_c,0,2,no shift,inside,188.99240914302473,265.26036079960994,189.35779661273415,21,22,1.1264620890535109
cta,ignnk_off_c,0,2,no shift,outside,203.5549738980223,265.26036079960994,193.75248786122648,21,22,1.1264620890535109
cta,ignnk_off_c,0,3,no shift,inside,166.8191427041433,227.5228343897286,168.17692216383062,21,22,1.1264620890535109
cta,ignnk_off_c,0,3,no shift,outside,174.3937307004713,227.5228343897286,172.98570886341946,21,22,1.1264620890535109
cta,ignnk_off_c,0,4,no shift,inside,123.04158973042875,164.3417844953681,108.01955442259143,21,22,1.1264620890535109
cta,ignnk_off_c,0,4,no shift,outside,126.48180059206383,164.3417844953681,109.85380781105042,21,22,1.1264620890535109
cta,ignnk_off_c,0,0,regional shift,inside,38.638789451744195,54.68746952705997,40.17508953765671,21,22,1.1264620890535109
cta,ignnk_off_c,0,0,regional shift,outside,40.16255707526118,54.68746952705997,40.1770739339316,21,22,1.1264620890535109
cta,ignnk_off_c,0,1,regional shift,inside,42.267389157061345,54.961360312042906,37.28226847222702,21,22,1.1264620890535109
cta,ignnk_off_c,0,1,regional shift,outside,46.18737852486211,54.961360312042906,37.85209975004262,21,22,1.1264620890535109
cta,ignnk_off_c,0,2,regional shift,inside,47.206051037095726,66.31509019990249,47.3264221856702,21,22,1.1264620890535109
cta,ignnk_off_c,0,2,regional shift,outside,50.86923986044663,66.31509019990249,48.4416879392888,21,22,1.1264620890535109
cta,ignnk_off_c,0,3,regional shift,inside,41.71414943913919,56.88070859743215,42.030761411622855,21,22,1.1264620890535109
cta,ignnk_off_c,0,3,regional shift,outside,43.59283293512184,56.88070859743215,43.256688352021534,21,22,1.1264620890535109
cta,ignnk_off_c,0,4,regional shift,inside,30.779144391264932,41.085446123842026,26.999094632159036,21,22,1.1264620890535109
cta,ignnk_off_c,0,4,regional shift,outside,31.61789775162078,41.085446123842026,27.46273027310985,21,22,1.1264620890535109
cta,ignnk_off_c,1,0,no shift,inside,138.53850910664767,218.74987810823987,160.70907838688996,21,22,1.1264620890535109
cta,ignnk_off_c,1,0,no shift,outside,143.39567227908387,218.74987810823987,160.72905573866325,21,22,1.1264620890535109
cta,ignnk_off_c,1,1,no shift,inside,148.01297504456667,219.84544124817162,149.17063584144728,21,22,1.1264620890535109
cta,ignnk_off_c,1,1,no shift,outside,163.5585143140287,219.84544124817162,151.4227503926293,21,22,1.1264620890535109
cta,ignnk_off_c,1,2,no shift,inside,171.04453612249614,265.26036079960994,189.35779661273415,21,22,1.1264620890535109
cta,ignnk_off_c,1,2,no shift,outside,184.96837726198095,265.26036079960994,193.75248786122648,21,22,1.1264620890535109
cta,ignnk_off_c,1,3,no shift,inside,151.7549413380033,227.5228343897286,168.17692216383062,21,22,1.1264620890535109
cta,ignnk_off_c,1,3,no shift,outside,159.8256170135503,227.5228343897286,172.98570886341946,21,22,1.1264620890535109
cta,ignnk_off_c,1,4,no shift,inside,111.4256156327452,164.3417844953681,108.01955442259143,21,22,1.1264620890535109
cta,ignnk_off_c,1,4,no shift,outside,114.17093541768243,164.3417844953681,109.85380781105042,21,22,1.1264620890535109
cta,ignnk_off_c,1,0,regional shift,inside,34.610801028445856,54.68746952705997,40.17508953765671,21,22,1.1264620890535109
cta,ignnk_off_c,1,0,regional shift,outside,35.833369529869195,54.68746952705997,40.1770739339316,21,22,1.1264620890535109
cta,ignnk_off_c,1,1,regional shift,inside,37.003792065751085,54.961360312042906,37.28226847222702,21,22,1.1264620890535109
cta,ignnk_off_c,1,1,regional shift,outside,40.87822018230754,54.961360312042906,37.85209975004262,21,22,1.1264620890535109
cta,ignnk_off_c,1,2,regional shift,inside,42.73214813435773,66.31509019990249,47.3264221856702,21,22,1.1264620890535109
cta,ignnk_off_c,1,2,regional shift,outside,46.22714567192198,66.31509019990249,48.4416879392888,21,22,1.1264620890535109
cta,ignnk_off_c,1,3,regional shift,inside,37.94891151094677,56.88070859743215,42.030761411622855,21,22,1.1264620890535109
cta,ignnk_off_c,1,3,regional shift,outside,39.94956476467907,56.88070859743215,43.256688352021534,21,22,1.1264620890535109
cta,ignnk_off_c,1,4,regional shift,inside,27.877398166814586,41.085446123842026,26.999094632159036,21,22,1.1264620890535109
cta,ignnk_off_c,1,4,regional shift,outside,28.538025234649574,41.085446123842026,27.46273027310985,21,22,1.1264620890535109
cta,ignnk_off_c,2,0,no shift,inside,139.58605994725642,218.74987810823987,160.70907838688996,21,22,1.1264620890535109
cta,ignnk_off_c,2,0,no shift,outside,144.34011292763694,218.74987810823987,160.72905573866325,21,22,1.1264620890535109
cta,ignnk_off_c,2,1,no shift,inside,155.46562239710303,219.84544124817162,149.17063584144728,21,22,1.1264620890535109
cta,ignnk_off_c,2,1,no shift,outside,169.89023615258816,219.84544124817162,151.4227503926293,21,22,1.1264620890535109
cta,ignnk_off_c,2,2,no shift,inside,173.97942140139972,265.26036079960994,189.35779661273415,21,22,1.1264620890535109
