dataset,model,train_seed,placement_seed,shift,coverage,MAE,snaive7,common_mode,n_target,n_observed,realised_shift
mta,ignnk_off,0,1,regional shift,outside,383.0496051681114,236.51860611794388,160.21150760772235,65,66,0.8412481727836516
mta,ignnk_off,0,2,regional shift,inside,394.99999764090563,264.13977887494093,166.2781780814861,65,66,0.8412481727836516
mta,ignnk_off,0,2,regional shift,outside,440.0508877169546,264.13977887494093,167.68460021856967,65,66,0.8412481727836516
mta,ignnk_off,0,3,regional shift,inside,367.9543369943525,249.5552139177967,154.531490233714,65,66,0.8412481727836516
mta,ignnk_off,0,3,regional shift,outside,448.5691680210796,249.5552139177967,154.42793466022005,65,66,0.8412481727836516
mta,ignnk_off,0,4,regional shift,inside,362.0932274569984,243.52511163645914,152.6169901479139,65,66,0.8412481727836516
mta,ignnk_off,0,4,regional shift,outside,408.0198398109244,243.52511163645914,150.97627092231934,65,66,0.8412481727836516
mta,ignnk_off,1,0,no shift,inside,922.5852376096836,993.2239747634069,615.5834396350751,65,66,0.8412481727836516
mta,ignnk_off,1,0,no shift,outside,922.9368062670765,993.2239747634069,623.276234745115,65,66,0.8412481727836516
mta,ignnk_off,1,1,no shift,inside,830.2437356350144,946.0744244717755,638.7248195660171,65,66,0.8412481727836516
mta,ignnk_off,1,1,no shift,outside,846.5149260408458,946.0744244717755,640.8436092925723,65,66,0.8412481727836516
mta,ignnk_off,1,2,no shift,inside,969.0080931296608,1056.5591154997637,665.2195042765269,65,66,0.8412481727836516
mta,ignnk_off,1,2,no shift,outside,946.9589357571421,1056.5591154997637,670.7288228025842,65,66,0.8412481727836516
mta,ignnk_off,1,3,no shift,inside,883.8515481350145,998.2208556711868,618.1920085298035,65,66,0.8412481727836516
mta,ignnk_off,1,3,no shift,outside,900.4741060874704,998.2208556711868,617.7181811885386,65,66,0.8412481727836516
mta,ignnk_off,1,4,no shift,inside,894.5007533482143,974.1004465458366,610.5315490128482,65,66,0.8412481727836516
mta,ignnk_off,1,4,no shift,outside,889.8556016938026,974.1004465458366,603.9017391276316,65,66,0.8412481727836516
mta,ignnk_off,1,0,regional shift,inside,395.54912111427467,248.30599369085172,153.8801707664139,65,66,0.8412481727836516
mta,ignnk_off,1,0,regional shift,outside,533.489023318457,248.30599369085172,155.82280772812058,65,66,0.8412481727836516
mta,ignnk_off,1,1,regional shift,inside,354.1920191218479,236.51860611794388,159.65467919311348,65,66,0.8412481727836516
mta,ignnk_off,1,1,regional shift,outside,480.6755396104216,236.51860611794388,160.21150760772235,65,66,0.8412481727836516
mta,ignnk_off,1,2,regional shift,inside,442.14083598509217,264.13977887494093,166.2781780814861,65,66,0.8412481727836516
mta,ignnk_off,1,2,regional shift,outside,547.7879035692482,264.13977887494093,167.68460021856967,65,66,0.8412481727836516
mta,ignnk_off,1,3,regional shift,inside,412.1232061211256,249.5552139177967,154.531490233714,65,66,0.8412481727836516
mta,ignnk_off,1,3,regional shift,outside,568.5979425236407,249.5552139177967,154.42793466022005,65,66,0.8412481727836516
mta,ignnk_off,1,4,regional shift,inside,392.36981006269696,243.52511163645914,152.6169901479139,65,66,0.8412481727836516
mta,ignnk_off,1,4,regional shift,outside,500.0400275735294,243.52511163645914,150.97627092231934,65,66,0.8412481727836516
mta,ignnk_off,2,0,no shift,inside,941.2997525549075,993.2239747634069,615.5834396350751,65,66,0.8412481727836516
mta,ignnk_off,2,0,no shift,outside,941.47441233843,993.2239747634069,623.276234745115,65,66,0.8412481727836516
mta,ignnk_off,2,1,no shift,inside,857.9263351228001,946.0744244717755,638.7248195660171,65,66,0.8412481727836516
mta,ignnk_off,2,1,no shift,outside,867.1730508766746,946.0744244717755,640.8436092925723,65,66,0.8412481727836516
mta,ignnk_off,2,2,no shift,inside,981.6736720144943,1056.5591154997637,665.2195042765269,65,66,0.8412481727836516
mta,ignnk_off,2,2,no shift,outside,967.4543283432675,1056.5591154997637,670.7288228025842,65,66,0.8412481727836516
mta,ignnk_off,2,3,no shift,inside,921.3322399527186,998.2208556711868,618.1920085298035,65,66,0.8412481727836516
mta,ignnk_off,2,3,no shift,outside,926.3663194444445,998.2208556711868,617.7181811885386,65,66,0.8412481727836516
mta,ignnk_off,2,4,no shift,inside,922.1148983226103,974.1004465458366,610.5315490128482,65,66,0.8412481727836516
mta,ignnk_off,2,4,no shift,outside,912.5225224855567,974.1004465458366,603.9017391276316,65,66,0.8412481727836516
mta,ignnk_off,2,0,regional shift,inside,345.1973619881975,248.30599369085172,153.8801707664139,65,66,0.8412481727836516
mta,ignnk_off,2,0,regional shift,outside,464.40583057892627,248.30599369085172,155.82280772812058,65,66,0.8412481727836516
mta,ignnk_off,2,1,regional shift,inside,316.545097846073,236.51860611794388,159.65467919311348,65,66,0.8412481727836516
mta,ignnk_off,2,1,regional shift,outside,428.8045081428947,236.51860611794388,160.21150760772235,65,66,0.8412481727836516
mta,ignnk_off,2,2,regional shift,inside,383.8936764372834,264.13977887494093,166.2781780814861,65,66,0.8412481727836516
mta,ignnk_off,2,2,regional shift,outside,499.2085659947419,264.13977887494093,167.68460021856967,65,66,0.8412481727836516
mta,ignnk_off,2,3,regional shift,inside,337.98768299965525,249.5552139177967,154.531490233714,65,66,0.8412481727836516
mta,ignnk_off,2,3,regional shift,outside,476.24120072809956,249.5552139177967,154.42793466022005,65,66,0.8412481727836516
mta,ignnk_off,2,4,regional shift,inside,340.0181696018251,243.52511163645914,152.6169901479139,65,66,0.8412481727836516
mta,ignnk_off,2,4,regional shift,outside,448.3085988790047,243.52511163645914,150.97627092231934,65,66,0.8412481727836516
mta,ignnk_off_c,0,0,no shift,inside,785.1262762222835,993.2239747634069,615.5834396350751,65,66,0.8412481727836516
mta,ignnk_off_c,0,0,no shift,outside,771.2817331500893,993.2239747634069,623.276234745115,65,66,0.8412481727836516
mta,ignnk_off_c,0,1,no shift,inside,711.3821833136328,946.0744244717755,638.7248195660171,65,66,0.8412481727836516
mta,ignnk_off_c,0,1,no shift,outside,729.7292393124508,946.0744244717755,640.8436092925723,65,66,0.8412481727836516
mta,ignnk_off_c,0,2,no shift,inside,809.9418801202605,1056.5591154997637,665.2195042765269,65,66,0.8412481727836516
mta,ignnk_off_c,0,2,no shift,outside,797.3142691156391,1056.5591154997637,670.7288228025842,65,66,0.8412481727836516
mta,ignnk_off_c,0,3,no shift,inside,751.3622919129235,998.2208556711868,618.1920085298035,65,66,0.8412481727836516
mta,ignnk_off_c,0,3,no shift,outside,764.7392447301024,998.2208556711868,617.7181811885386,65,66,0.8412481727836516
mta,ignnk_off_c,0,4,no shift,inside,781.060855025604,974.1004465458366,610.5315490128482,65,66,0.8412481727836516
mta,ignnk_off_c,0,4,no shift,outside,766.7944828321954,974.1004465458366,603.9017391276316,65,66,0.8412481727836516
mta,ignnk_off_c,0,0,regional shift,inside,196.48652546943964,248.30599369085172,153.8801707664139,65,66,0.8412481727836516
mta,ignnk_off_c,0,0,regional shift,outside,192.93664863782053,248.30599369085172,155.82280772812058,65,66,0.8412481727836516
mta,ignnk_off_c,0,1,regional shift,inside,177.94450754777384,236.51860611794388,159.65467919311348,65,66,0.8412481727836516
mta,ignnk_off_c,0,1,regional shift,outside,182.5270019659509,236.51860611794388,160.21150760772235,65,66,0.8412481727836516
mta,ignnk_off_c,0,2,regional shift,inside,202.60819493996823,264.13977887494093,166.2781780814861,65,66,0.8412481727836516
mta,ignnk_off_c,0,2,regional shift,outside,199.48162614221195,264.13977887494093,167.68460021856967,65,66,0.8412481727836516
mta,ignnk_off_c,0,3,regional shift,inside,187.85633085434725,249.5552139177967,154.531490233714,65,66,0.8412481727836516
mta,ignnk_off_c,0,3,regional shift,outside,191.20193537398214,249.5552139177967,154.42793466022005,65,66,0.8412481727836516
mta,ignnk_off_c,0,4,regional shift,inside,195.47399399701285,243.52511163645914,152.6169901479139,65,66,0.8412481727836516
mta,ignnk_off_c,0,4,regional shift,outside,191.84578334263392,243.52511163645914,150.97627092231934,65,66,0.8412481727836516
mta,ignnk_off_c,1,0,no shift,inside,812.9369889363966,993.2239747634069,615.5834396350751,65,66,0.8412481727836516
mta,ignnk_off_c,1,0,no shift,outside,797.9395725784206,993.2239747634069,623.276234745115,65,66,0.8412481727836516
mta,ignnk_off_c,1,1,no shift,inside,732.2544761294982,946.0744244717755,638.7248195660171,65,66,0.8412481727836516
mta,ignnk_off_c,1,1,no shift,outside,755.1617788777253,946.0744244717755,640.8436092925723,65,66,0.8412481727836516
mta,ignnk_off_c,1,2,no shift,inside,838.5153004706701,1056.5591154997637,665.2195042765269,65,66,0.8412481727836516
mta,ignnk_off_c,1,2,no shift,outside,833.6628603875644,1056.5591154997637,670.7288228025842,65,66,0.8412481727836516
mta,ignnk_off_c,1,3,no shift,inside,772.010425285658,998.2208556711868,618.1920085298035,65,66,0.8412481727836516
mta,ignnk_off_c,1,3,no shift,outside,793.1368351063829,998.2208556711868,617.7181811885386,65,66,0.8412481727836516
mta,ignnk_off_c,1,4,no shift,inside,801.9735310530463,974.1004465458366,610.5315490128482,65,66,0.8412481727836516
mta,ignnk_off_c,1,4,no shift,outside,788.9285763524159,974.1004465458366,603.9017391276316,65,66,0.8412481727836516
mta,ignnk_off_c,1,0,regional shift,inside,203.33718006186947,248.30599369085172,153.8801707664139,65,66,0.8412481727836516
mta,ignnk_off_c,1,0,regional shift,outside,199.50780069833044,248.30599369085172,155.82280772812058,65,66,0.8412481727836516
mta,ignnk_off_c,1,1,regional shift,inside,183.03755715212108,236.51860611794388,159.65467919311348,65,66,0.8412481727836516
mta,ignnk_off_c,1,1,regional shift,outside,188.76113183773313,236.51860611794388,160.21150760772235,65,66,0.8412481727836516
mta,ignnk_off_c,1,2,regional shift,inside,209.70222187713344,264.13977887494093,166.2781780814861,65,66,0.8412481727836516
mta,ignnk_off_c,1,2,regional shift,outside,208.51569879862606,264.13977887494093,167.68460021856967,65,66,0.8412481727836516
mta,ignnk_off_c,1,3,regional shift,inside,193.02440334006437,249.5552139177967,154.531490233714,65,66,0.8412481727836516
mta,ignnk_off_c,1,3,regional shift,outside,198.27621517517073,249.5552139177967,154.42793466022005,65,66,0.8412481727836516
mta,ignnk_off_c,1,4,regional shift,inside,200.64246569721638,243.52511163645914,152.6169901479139,65,66,0.8412481727836516
mta,ignnk_off_c,1,4,regional shift,outside,197.34315934381564,243.52511163645914,150.97627092231934,65,66,0.8412481727836516
mta,ignnk_off_c,2,0,no shift,inside,911.3571053850095,993.2239747634069,615.5834396350751,65,66,0.8412481727836516
mta,ignnk_off_c,2,0,no shift,outside,895.8978504952186,993.2239747634069,623.276234745115,65,66,0.8412481727836516
mta,ignnk_off_c,2,1,no shift,inside,818.3587835730234,946.0744244717755,638.7248195660171,65,66,0.8412481727836516
mta,ignnk_off_c,2,1,no shift,outside,840.2997590786708,946.0744244717755,640.8436092925723,65,66,0.8412481727836516
mta,ignnk_off_c,2,2,no shift,inside,925.0985215247873,1056.5591154997637,665.2195042765269,65,66,0.8412481727836516
mta,ignnk_off_c,2,2,no shift,outside,921.4820286242254,1056.5591154997637,670.7288228025842,65,66,0.8412481727836516
mta,ignnk_off_c,2,3,no shift,inside,868.1984042553191,998.2208556711868,618.1920085298035,65,66,0.8412481727836516
mta,ignnk_off_c,2,3,no shift,outside,888.7080394667718,998.2208556711868,617.7181811885386,65,66,0.8412481727836516
mta,ignnk_off_c,2,4,no shift,inside,893.4747398568802,974.1004465458366,610.5315490128482,65,66,0.8412481727836516
mta,ignnk_off_c,2,4,no shift,outside,889.2231039095326,974.1004465458366,603.9017391276316,65,66,0.8412481727836516
mta,ignnk_off_c,2,0,regional shift,inside,228.08541258226276,248.30599369085172,153.8801707664139,65,66,0.8412481727836516
mta,ignnk_off_c,2,0,regional shift,outside,224.2164610918453,248.30599369085172,155.82280772812058,65,66,0.8412481727836516
mta,ignnk_off_c,2,1,regional shift,inside,204.69039126116365,236.51860611794388,159.65467919311348,65,66,0.8412481727836516
mta,ignnk_off_c,2,1,regional shift,outside,210.17789310809036,236.51860611794388,160.21150760772235,65,66,0.8412481727836516
mta,ignnk_off_c,2,2,regional shift,inside,231.33354342949139,264.13977887494093,166.2781780814861,65,66,0.8412481727836516
mta,ignnk_off_c,2,2,regional shift,outside,230.5998792348821,264.13977887494093,167.68460021856967,65,66,0.8412481727836516
mta,ignnk_off_c,2,3,regional shift,inside,217.08929603362228,249.5552139177967,154.531490233714,65,66,0.8412481727836516
mta,ignnk_off_c,2,3,regional shift,outside,222.22287521342264,249.5552139177967,154.42793466022005,65,66,0.8412481727836516
mta,ignnk_off_c,2,4,regional shift,inside,223.63641008649554,243.52511163645914,152.6169901479139,65,66,0.8412481727836516
mta,ignnk_off_c,2,4,regional shift,outside,222.5829718068868,243.52511163645914,150.97627092231934,65,66,0.8412481727836516
