dataset,model,train_seed,shift,coverage,MAE,snaive7,MAE_over_snaive7,n_placements,input_source
Subway,spin,0,no shift,inside,726.79878098595577,993.63576339039389,0.73130111415623023,5,original
Subway,spin,0,no shift,outside,751.64021613066939,993.63576339039389,0.75607043930837015,5,original
Subway,spin,0,regional shift,inside,205.3851048317602,248.40894084759847,0.82725177225764435,5,original
Subway,spin,0,regional shift,outside,507.02195101429561,248.40894084759847,2.0390628124571313,5,original
Subway,spin,1,no shift,inside,577.91875564094096,993.63576339039389,0.58157950074794806,5,original
Subway,spin,1,no shift,outside,588.73904105853933,993.63576339039389,0.59218269269350143,5,original
Subway,spin,1,regional shift,inside,277.24620111001133,248.40894084759847,1.1153474324409962,5,original
Subway,spin,1,regional shift,outside,602.53494530675334,248.40894084759847,2.4230866156905462,5,original
Subway,spin,2,no shift,inside,585.09149737653956,993.63576339039389,0.58873454878472165,5,original
Subway,spin,2,no shift,outside,596.27440807405026,993.63576339039389,0.59955096628912474,5,original
Subway,spin,2,regional shift,inside,209.9522186808581,248.40894084759847,0.84516340820259861,5,original
Subway,spin,2,regional shift,outside,666.93160942240138,248.40894084759847,2.6819873300498016,5,original
Subway,spin_c,0,no shift,inside,519.63515660566998,993.63576339039389,0.52279210197207282,5,original
Subway,spin_c,0,no shift,outside,528.12150583367475,993.63576339039389,0.53117007829814933,5,original
Subway,spin_c,0,regional shift,inside,130.03060364196776,248.40894084759847,0.52329231777507645,5,original
Subway,spin_c,0,regional shift,outside,132.1949249039738,248.40894084759847,0.53183466449938988,5,original
Subway,spin_c,1,no shift,inside,497.15843652243638,993.63576339039389,0.50028725809959018,5,original
Subway,spin_c,1,no shift,outside,501.57796955223932,993.63576339039389,0.50458018468118626,5,original
Subway,spin_c,1,regional shift,inside,124.46373713441517,248.40894084759847,0.50098727419136424,5,original
Subway,spin_c,1,regional shift,outside,125.51341345357609,248.40894084759847,0.50506041800901602,5,original
Subway,spin_c,2,no shift,inside,493.42247792724538,993.63576339039389,0.49640509968198127,5,original
Subway,spin_c,2,no shift,outside,498.73485282811788,993.63576339039389,0.50154774473938768,5,original
Subway,spin_c,2,regional shift,inside,123.53961664828505,248.40894084759847,0.49714707702833677,5,original
Subway,spin_c,2,regional shift,outside,124.88882541612038,248.40894084759847,0.5023731087230382,5,original
